Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.38     0.00        8     0.00     0.00  long* std::__copy_normal<false, false>::__copy_n<long*, long*>(long*, long*, long*)
  0.00      5.38     0.00        8     0.00     0.00  long* std::__copy_aux<long*, long*>(long*, long*, long*)
  0.00      5.38     0.00        8     0.00     0.00  long* std::uninitialized_copy<long*, long*>(long*, long*, long*)
  0.00      5.38     0.00        8     0.00     0.00  long* std::__uninitialized_copy_a<long*, long*, long>(long*, long*, long*, std::allocator<long>)
  0.00      5.38     0.00        8     0.00     0.00  long* std::__uninitialized_copy_aux<long*, long*>(long*, long*, long*, std::__true_type)
  0.00      5.38     0.00        8     0.00     0.00  long* std::copy<long*, long*>(long*, long*, long*)
  0.00      5.38     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<long>::deallocate(long*, unsigned int)
  0.00      5.38     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<long>::allocate(unsigned int, void const*)
  0.00      5.38     0.00        6     0.00     0.00  bool __gnu_cxx::operator< <long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&)
  0.00      5.38     0.00        6     0.00     0.00  bool __gnu_cxx::operator!=<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&)
  0.00      5.38     0.00        6     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_get_Tp_allocator() const
  0.00      5.38     0.00        6     0.00     0.00  std::allocator<std::string>::allocator(std::allocator<std::string> const&)
  0.00      5.38     0.00        6     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.00      5.38     0.00        6     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_allocate(unsigned int)
  0.00      5.38     0.00        5     0.00     0.00  bool __gnu_cxx::operator< <std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00      5.38     0.00        5     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<long>::construct(long*, long const&)
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string const* const&)
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::__normal_iterator(long const* const&)
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator++(int)
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::base() const
  0.00      5.38     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  0.00      5.38     0.00        4     0.00     0.00  std::vector<long, std::allocator<long> >::max_size() const
  0.00      5.38     0.00        4     0.00     0.00  std::allocator<std::string>::allocator(std::allocator<std::string> const&)
  0.00      5.38     0.00        4     0.00     0.00  std::allocator<std::string>::~allocator()
  0.00      5.38     0.00        4     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::_Vector_impl(std::allocator<std::string> const&)
  0.00      5.38     0.00        4     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::~_Vector_impl()
  0.00      5.38     0.00        4     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_deallocate(std::string*, unsigned int)
  0.00      5.38     0.00        4     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::~_Vector_base()
  0.00      5.38     0.00        4     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::~vector()
  0.00      5.38     0.00        4     0.00     0.00  std::vector<long, std::allocator<long> >::_M_insert_aux(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, long const&)
  0.00      5.38     0.00        4     0.00     0.00  std::vector<long, std::allocator<long> >::begin()
  0.00      5.38     0.00        4     0.00     0.00  std::vector<long, std::allocator<long> >::push_back(long const&)
  0.00      5.38     0.00        4     0.00     0.00  void std::_Destroy<std::string*, std::string>(std::string*, std::string*, std::allocator<std::string>)
  0.00      5.38     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::__normal_iterator()
  0.00      5.38     0.00        2     0.00     0.00  void vector2array<long>(std::vector<long, std::allocator<long> >, long*)
  0.00      5.38     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator()
  0.00      5.38     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator()
  0.00      5.38     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator-(int const&) const
  0.00      5.38     0.00        2     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator() const
  0.00      5.38     0.00        2     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end() const
  0.00      5.38     0.00        2     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin() const
  0.00      5.38     0.00        2     0.00     0.00  std::vector<long, std::allocator<long> >::end() const
  0.00      5.38     0.00        2     0.00     0.00  std::vector<long, std::allocator<long> >::begin() const
  0.00      5.38     0.00        2     0.00     0.00  std::allocator<std::string>::allocator()
  0.00      5.38     0.00        2     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_allocate(unsigned int)
  0.00      5.38     0.00        2     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_base(std::allocator<std::string> const&)
  0.00      5.38     0.00        2     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_base(unsigned int, std::allocator<std::string> const&)
  0.00      5.38     0.00        2     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_Vector_base(unsigned int, std::allocator<long> const&)
  0.00      5.38     0.00        2     0.00     0.00  long* std::__copy_normal<true, false>::__copy_n<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*)
  0.00      5.38     0.00        2     0.00     0.00  void std::__fill<true>::fill<long*, int>(long*, long*, int const&)
  0.00      5.38     0.00        2     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::vector(std::allocator<std::string> const&)
  0.00      5.38     0.00        2     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::vector(std::vector<std::string, std::allocator<std::string> > const&)
  0.00      5.38     0.00        2     0.00     0.00  std::vector<long, std::allocator<long> >::back()
  0.00      5.38     0.00        2     0.00     0.00  std::vector<long, std::allocator<long> >::vector(std::vector<long, std::allocator<long> > const&)
  0.00      5.38     0.00        2     0.00     0.00  long* std::__copy_aux<long const*, long*>(long const*, long const*, long*)
  0.00      5.38     0.00        2     0.00     0.00  std::string* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*>(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*)
  0.00      5.38     0.00        2     0.00     0.00  long* std::uninitialized_copy<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*)
  0.00      5.38     0.00        2     0.00     0.00  std::string* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*, std::string>(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*, std::allocator<std::string>)
  0.00      5.38     0.00        2     0.00     0.00  long* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*, long>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*, std::allocator<long>)
  0.00      5.38     0.00        2     0.00     0.00  std::string* std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*>(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*, std::__false_type)
  0.00      5.38     0.00        2     0.00     0.00  long* std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*, std::__true_type)
  0.00      5.38     0.00        2     0.00     0.00  long* std::copy<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, long*)
  0.00      5.38     0.00        2     0.00     0.00  void std::fill<long*, int>(long*, long*, int const&)
  0.00      5.38     0.00        1     0.00     0.00  global constructors keyed to _Z15read_mapoffsetsSsPfPi
  0.00      5.38     0.00        1     0.00     0.00  global constructors keyed to _Z22parse_sanePos_ini_filePcRbRiRlS0_S0_PdS3_RdS2_S2_S1_S4_S3_S3_RSsS5_S5_S5_S5_S5_S5_S5_S5_S1_RSt6vectorISsSaISsEERS6_IlSaIlEESC_S5_
  0.00      5.38     0.00        1     0.00     0.00  global constructors keyed to _Z23find_coordinates_in_maplSt6vectorISsSaISsEESsSsSsP7foffsetPfllPlS5_SsSsSsSsSsSsidRPiS7_iRPdS8_S8_bdS8_S8_cS9_S9_S9_S9_RPhRdSC_SC_SC_
  0.00      5.38     0.00        1     0.00     0.00  global constructors keyed to _Z9slaDranrmd
  0.00      5.38     0.00        1     0.00     0.00  global constructors keyed to main
  0.00      5.38     0.00        1     0.00     0.00  map_offsets(std::string, long, float*&, foffset*&, long*, int)
  0.00      5.38     0.00        1     0.00     0.00  write_indpix(long, int, long*, std::string, std::string, int)
  0.00      5.38     0.00        1     0.00     0.00  compute_indpix(long*&, int, int, long, long*)
  0.00      5.38     0.00        1     0.00     0.00  write_info_pointing(int, std::string, std::string, int, double*, double*)
  0.00      5.38     0.00        1     0.00     0.00  parse_sanePos_ini_file(char*, bool&, int&, long&, bool&, bool&, double*, double*, double&, long&, long&, int&, double&, double*, double*, std::string&, std::string&, std::string&, std::string&, std::string&, std::string&, std::string&, std::string&, std::string&, int&, std::vector<std::string, std::allocator<std::string> >&, std::vector<long, std::allocator<long> >&, std::vector<long, std::allocator<long> >&, std::string&)
  0.00      5.38     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.38     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.38     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.38     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.38     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.38     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end()
  0.00      5.38     0.00        1     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin()
  0.00      5.38     0.00        1     0.00     0.00  std::setprecision(int)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.19% of 5.38 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    5.38                 main [1]
                0.24    2.62       1/1           compute_seen_pixels_coordinates(int, long, std::string, std::vector<std::string, std::allocator<std::string> >, std::string, std::string, std::string, std::string, foffset*, float*, long, long, long*, long*, std::string, std::string, std::string, std::string, std::string, std::string, int, double, int*&, int*&, unsigned char*&, int&, double*&, double*, double*, bool, double, double*, double*, char, double*&, double*&, double*&, double*&, unsigned char*&, int, double&, double&, double&, double&, unsigned char*&, long, double, bool, bool, int, long, unsigned char*&, long*&, long*&, int, long*, long, int&) [3]
                0.05    2.47       1/1           find_coordinates_in_map(long, std::vector<std::string, std::allocator<std::string> >, std::string, std::string, std::string, foffset*, float*, long, long, long*, long*, std::string, std::string, std::string, std::string, std::string, std::string, int, double, int*&, int*&, int, double*&, double*, double*, bool, double, double*, double*, char, double*&, double*&, double*&, double*&, unsigned char*&, double&, double&, double&, double&) [4]
                0.00    0.00       1/749         sph_coord_to_sqrmap(double, double*, double*, double*, double*, int, int*, int*, int*, double*, double*, double*, bool, double, double*, double*) [2]
                0.00    0.00       8/12          std::vector<long, std::allocator<long> >::~vector() [57]
                0.00    0.00       6/10          std::allocator<long>::allocator() [62]
                0.00    0.00       6/10          std::vector<long, std::allocator<long> >::vector(std::allocator<long> const&) [65]
